,1991-2005_hotdays,2011-2020_colddays,1991-2005_colddays,2006-2020_hotdays,2006-2020_colddays,1991-2000_hotdays,1991-2000_colddays,2001-2010_hotdays,2001-2010_colddays,2011-2020_hotdays
1001,10.129585690819493,,10.257346231064062,11.780821917808218,13.150684931506849,10.073911853271284,10.347659457979743,10.406207211319032,10.771337288909175,
1003,10.139603232916972,10.455543358946214,10.396767083027186,10.373216245883645,10.281741675814123,10.210785655625513,10.457158499863127,10.379186271796291,10.157763631331303,10.345773874862788
10044,10.153504716108747,10.574268360022087,10.171999260218236,10.30169242089772,10.32008830022075,10.128661374212976,10.375034218450589,10.145739910313901,10.173766816143498,10.215350635008283
1004,10.366855265559408,10.633050150726227,10.239094725314839,10.315828817043544,10.427957391141844,10.320284697508896,10.648781823159048,10.119047619047619,10.40249433106576,10.331597697999452
1051,10.202591713816389,10.375034218450589,10.33035225406096,10.166088702317941,10.184340208067166,10.183410895154667,10.621407062688201,10.104052573932092,10.487404162102957,10.019162332329593
1054,10.160724182523554,10.429783739392281,10.160724182523554,10.220843219565614,10.184340208067166,10.090485330408555,10.392103098437072,10.189309576837417,10.2728285077951,10.156036134683822
1055,10.147837196568718,10.457158499863127,10.166088702317941,10.184340208067166,10.202591713816389,10.019162332329593,10.429783739392281,10.076670317634173,10.377875136911282,10.210785655625513
1056,10.166088702317941,10.429783739392281,10.239094725314839,10.111334185070268,10.202591713816389,10.128661374212976,10.457158499863127,10.104052573932092,10.377875136911282,10.128661374212976
1057,10.14996342355523,10.787576261785912,10.168251645940014,10.497135464793939,10.404731103308077,10.210785655625513,10.402408978921434,10.414364640883978,10.331491712707182,10.537992235163616
1058,10.184340208067166,10.315500685871056,10.184340208067166,10.089563151160664,10.14439773350393,10.128661374212976,10.347659457979743,10.021905805038335,10.323110624315444,10.041152263374485
1059,10.129585690819493,10.539282781275665,10.166088702317941,10.220843219565614,10.239094725314839,10.019162332329593,10.402408978921434,10.076670317634173,10.350492880613363,10.156036134683822
1060,10.257346231064062,10.484533260333972,10.45811279430553,10.239094725314839,10.312100748311735,10.183410895154667,10.840405146454968,10.240963855421686,10.487404162102957,10.539282781275665
1062,10.07483117357182,10.545056149000274,10.184340208067166,10.169800985941208,10.388899032316962,10.128661374212976,10.375034218450589,10.021905805038335,10.350492880613363,10.243768830457409
11000,10.07483117357182,10.402408978921434,10.166088702317941,10.093082679321045,10.147837196568718,10.019162332329593,10.320284697508896,10.021905805038335,10.323110624315444,10.073911853271284
12051,10.50903119868637,10.49586776859504,10.415200562983815,10.373900293255131,10.612170087976539,10.375034218450589,10.703531344100739,10.303776683087028,10.385878489326766,10.385674931129477
12052,10.312100748311735,10.387469084913437,10.366855265559408,10.393412625800549,10.430009149130832,10.183410895154667,10.375034218450589,10.18619934282585,10.569550930996714,10.305028854080792
12060,10.117025292563232,10.347659457979743,10.211400528501322,10.129585690819493,10.184340208067166,10.080645161290322,10.311059907834101,10.021905805038335,10.350492880613363,10.046537092800438
12061,10.12905748924521,10.320284697508896,10.246382479468126,10.166088702317941,10.147837196568718,10.218978102189782,10.279805352798054,10.049288061336254,10.487404162102957,10.019162332329593
12063,10.111334185070268,10.575599008537592,10.220843219565614,10.275229357798166,10.403669724770642,10.156036134683822,10.375034218450589,10.233196159122086,10.699588477366255,10.548058386119527
12064,10.45673076923077,10.402408978921434,10.476762820512821,10.166088702317941,10.239094725314839,10.29089771660932,10.416015014075695,10.08008837337752,10.52195526097763,10.183410895154667
12065,10.372831303063862,10.429783739392281,10.317460317460318,10.239094725314839,10.312100748311735,10.2728285077951,10.523385300668151,10.104052573932092,10.43263964950712,10.073911853271284
12066,10.083549409392106,10.511908020804817,10.544511668107173,10.184340208067166,10.184340208067166,10.516717325227964,10.759878419452887,10.213581599123767,10.596933187294633,10.156036134683822
12067,10.166088702317941,10.402408978921434,10.202591713816389,10.166088702317941,10.220843219565614,10.101286613742129,10.375034218450589,10.049288061336254,10.405257393209201,10.156036134683822
12068,10.129585690819493,10.347659457979743,10.166088702317941,10.111334185070268,10.184340208067166,10.073911853271284,10.402408978921434,10.049288061336254,10.405257393209201,10.019162332329593
12069,10.166088702317941,10.511908020804817,10.147837196568718,10.202591713816389,10.220843219565614,10.101286613742129,10.347659457979743,10.104052573932092,10.350492880613363,10.019162332329593
12072,10.224059169023276,10.380717611613257,10.311072438546878,10.188059156472521,10.169800985941208,10.393359797906893,10.393359797906893,10.104052573932092,10.405257393209201,10.079430293070391
12073,10.240963855421686,10.484533260333972,10.295728368017524,10.202591713816389,10.257346231064062,10.15881708652793,10.46002190580504,10.131434830230011,10.46002190580504,10.128661374212976
13004,10.204454180357795,10.675862068965516,10.240963855421686,10.273344340487984,10.566868464501926,10.128661374212976,10.511908020804817,10.243768830457409,10.627225417693783,10.455172413793104
13071,10.093082679321045,10.347659457979743,10.147837196568718,10.111334185070268,10.166088702317941,10.019162332329593,10.320284697508896,10.021905805038335,10.323110624315444,10.046537092800438
13072,10.093082679321045,10.375034218450589,10.202591713816389,10.312100748311735,10.293849242562512,10.019162332329593,10.320284697508896,10.131434830230011,10.377875136911282,10.156036134683822
13073,10.07483117357182,10.347659457979743,10.147837196568718,10.093082679321045,10.147837196568718,10.046537092800438,10.320284697508896,10.076670317634173,10.323110624315444,10.073911853271284
13074,10.166088702317941,10.675862068965516,10.220843219565614,10.273344340487984,10.566868464501926,10.101286613742129,10.429783739392281,10.15881708652793,10.651697699890471,10.455172413793104
13075,10.093082679321045,10.347659457979743,10.202591713816389,10.07483117357182,10.202591713816389,10.101286613742129,10.320284697508896,10.049288061336254,10.350492880613363,10.073911853271284
13076,10.093082679321045,10.457158499863127,10.184340208067166,10.166088702317941,10.202591713816389,10.019162332329593,10.320284697508896,10.076670317634173,10.323110624315444,10.073911853271284
14524,10.141643059490084,10.429783739392281,10.16052880075543,10.147837196568718,10.184340208067166,10.181190681622088,10.296232384239287,10.04390779363337,10.26344676180022,10.046537092800438
14612,10.093082679321045,10.320284697508896,10.220843219565614,10.147837196568718,10.184340208067166,10.046537092800438,10.429783739392281,10.021905805038335,10.323110624315444,10.019162332329593
14625,10.244988864142538,10.402408978921434,10.189309576837417,10.166088702317941,10.184340208067166,10.331274564851206,10.443571027512633,10.104052573932092,10.43263964950712,10.101286613742129
14713,10.339788089148703,10.362836723474436,10.431128973328462,10.455960446804614,10.437648782274309,10.29290993703805,10.594032302217355,10.126234906695938,10.48298572996707,10.39032435404068
14730,10.57740169238427,10.305028854080792,10.50273768043803,10.320219579139982,10.375114364135408,10.492700729927007,10.675182481751825,10.268346111719605,10.651697699890471,10.277548777136577
15002,10.257346231064062,10.270700636942674,10.202591713816389,10.371910371910372,10.371910371910372,10.101286613742129,10.347659457979743,10.019214932747735,10.321163875926434,10.230891719745223
15082,10.184340208067166,10.347659457979743,10.166088702317941,10.166088702317941,10.220843219565614,10.128661374212976,10.402408978921434,10.131434830230011,10.350492880613363,10.101286613742129
15083,10.184340208067166,10.429783739392281,10.184340208067166,10.202591713816389,10.257346231064062,10.073911853271284,10.402408978921434,10.104052573932092,10.43263964950712,10.101286613742129
15084,10.093082679321045,10.402408978921434,10.239094725314839,10.153958944281525,10.208944281524927,10.046537092800438,10.429783739392281,10.195646183521632,10.360980986497658,10.183410895154667
15087,10.153042179917879,10.402408978921434,10.13437849944009,10.093082679321045,10.220843219565614,10.249150622876558,10.249150622876558,10.021905805038335,10.377875136911282,10.128661374212976
15088,10.093082679321045,10.326833287558363,10.166088702317941,10.133528443387599,10.261569416498993,10.046537092800438,10.347659457979743,10.021905805038335,10.323110624315444,10.10711343037627
15089,10.129585690819493,10.484533260333972,10.220843219565614,10.184340208067166,10.202591713816389,10.073911853271284,10.375034218450589,10.049288061336254,10.43263964950712,10.156036134683822
15090,10.269011898603207,10.457697642163662,10.57941024314537,10.329589394218376,10.495304732093537,10.301163586584531,10.54072553045859,10.216606498194945,10.397111913357401,10.42995839112344
15091,10.153396639883127,10.663377192982455,10.189919649379108,10.500274876305662,10.426974528129008,10.128661374212976,10.457158499863127,10.159691629955947,10.32488986784141,10.197368421052632
16062,10.192271793914504,10.400682011935208,10.285607616203098,10.234899328859061,10.234899328859061,10.162829870859069,10.359348680516563,10.052471692902513,10.356255178127588,10.187553282182439
16064,10.264305876315115,10.375034218450589,10.520913523222992,10.239094725314839,10.312100748311735,10.561370123691722,10.704091341579447,10.107705053852527,10.43910521955261,10.156036134683822
16068,10.246890662706516,10.458413395553116,10.302580285873399,10.294386542329493,10.349241177546169,10.193765796124683,10.474585790508284,10.076670317634173,10.405257393209201,10.21136426022509
16070,10.27747353048558,10.41095890410959,10.332238043081416,10.372534696859022,10.372534696859022,10.183410895154667,10.594032302217355,10.271158586688578,10.572445905231444,10.32876712328767
16074,10.120990973689265,10.36669423766198,10.120990973689265,10.337825364592948,10.300904559719402,10.227936879018118,10.315604909409702,10.125874125874127,10.20979020979021,10.146126275158533
16077,10.184340208067166,10.375034218450589,10.202591713816389,10.147837196568718,10.293849242562512,10.183410895154667,10.320284697508896,10.104052573932092,10.377875136911282,10.101286613742129
2000,10.111334185070268,10.429783739392281,10.166088702317941,10.166088702317941,10.184340208067166,10.073911853271284,10.375034218450589,10.021905805038335,10.350492880613363,10.046537092800438
3102,10.07483117357182,10.457158499863127,10.184340208067166,10.147837196568718,10.202591713816389,10.156036134683822,10.429783739392281,10.131434830230011,10.43263964950712,10.073911853271284
3103,10.348603759810185,10.458970792767733,10.385106771308633,10.20106991330013,10.330197380557093,10.402408978921434,10.758280865042432,10.268346111719605,10.70646221248631,10.347705146036162
3151,10.202591713816389,10.375034218450589,10.184340208067166,10.093082679321045,10.147837196568718,10.210785655625513,10.402408978921434,10.15881708652793,10.323110624315444,10.019162332329593
3152,10.239094725314839,10.466721900027617,10.348603759810185,10.299247292087388,10.280888562511475,10.156036134683822,10.347659457979743,10.18619934282585,10.405257393209201,10.218171775752555
3154,10.439861288556306,10.562414266117969,10.421609782807082,10.254339927331449,10.355268469923294,10.320284697508896,10.484533260333972,10.334928229665072,10.334928229665072,10.178326474622772
3241,10.093082679321045,10.457158499863127,10.202591713816389,10.129585690819493,10.202591713816389,10.046537092800438,10.429783739392281,10.131434830230011,10.350492880613363,10.23816041609636
3251,10.111334185070268,10.375034218450589,10.202591713816389,10.147837196568718,10.184340208067166,10.156036134683822,10.402408978921434,10.104052573932092,10.43263964950712,10.073911853271284
3254,10.421609782807082,10.418994413407821,10.348603759810185,10.17388087310396,10.303366629670736,10.183410895154667,10.539282781275665,10.131434830230011,10.542168674698795,10.195530726256983
3255,10.265970668655232,10.484533260333972,10.39025602783992,10.115026474347271,10.24283366806646,10.48421052631579,10.652631578947368,10.16705069124424,10.16705069124424,10.128661374212976
3351,10.257346231064062,,10.567621828800876,11.780821917808218,12.876712328767123,10.265535176567205,10.621407062688201,10.360565951620265,10.953902327704245,
3355,10.401087695445275,10.589849108367627,10.446408338998413,10.199232315847194,10.418570645220253,10.132523467697405,10.629486471562673,10.317157050057318,10.317157050057318,10.315500685871056
3357,10.131434830230011,10.48298572996707,10.514786418400876,10.274223034734918,10.493601462522852,10.31335564344387,10.526315789473685,10.406207211319032,10.497489730716568,10.181119648737651
3360,10.111334185070268,10.43956043956044,10.275597736813287,10.26344676180022,10.464690815953166,10.101286613742129,10.457158499863127,10.131434830230011,10.46002190580504,10.32967032967033
3404,10.39485766758494,10.420121614151466,10.560146923783288,10.168238121649104,10.35311517840636,10.23816041609636,10.56665754174651,10.24281328495674,10.41027072285794,10.39248203427308
3405,10.202591713816389,10.668133076711575,10.239094725314839,10.287387882116054,10.397217645982062,10.210785655625513,10.402408978921434,10.15881708652793,10.43263964950712,10.420676381633214
3451,10.23204823679883,12.206572769953052,10.341677325050247,10.304259634888439,10.344827586206897,10.457158499863127,10.676156583629894,10.285244103126715,10.504662643993418,11.267605633802816
3452,10.113179992698065,10.438356164383562,10.27747353048558,10.189919649379108,10.409057706355004,10.104052573932092,10.733844468784227,10.15881708652793,10.46002190580504,10.493150684931507
3453,10.166088702317941,10.474090407938258,10.239094725314839,10.267693436010267,10.377704437110378,10.073911853271284,10.457158499863127,10.049288061336254,10.43263964950712,10.474090407938258
3455,10.202591713816389,10.668133076711575,10.239094725314839,10.287387882116054,10.397217645982062,10.183410895154667,10.402408978921434,10.15881708652793,10.43263964950712,10.420676381633214
3458,10.111334185070268,10.467032967032967,10.257346231064062,10.080497621661179,10.153677277716795,10.073911853271284,10.375034218450589,10.049288061336254,10.405257393209201,10.054945054945055
3459,10.111334185070268,10.539282781275665,10.184340208067166,10.147837196568718,10.184340208067166,10.046537092800438,10.347659457979743,10.076670317634173,10.323110624315444,10.101286613742129
3460,10.167944505293903,10.729967069154775,10.36874771814531,10.347349177330896,10.36563071297989,10.076670317634173,10.487404162102957,10.15881708652793,10.542168674698795,10.208562019758507
3462,10.182555780933063,,10.304259634888439,,,10.073911853271284,10.402408978921434,10.806577916992952,11.198120595144871,
5111,10.166088702317941,10.435497124075596,10.403358277057857,10.31586635019171,10.334124520723023,10.156036134683822,10.347659457979743,10.15881708652793,10.514786418400876,10.1615995617639
5112,10.151147602164583,10.510344827586207,10.319089382347453,10.192525481313703,10.305775764439412,10.331163317294084,10.38777243136145,10.117176336096028,10.431551871963418,10.289655172413793
5114,10.07483117357182,10.511908020804817,10.220843219565614,10.093082679321045,10.202591713816389,10.019162332329593,10.347659457979743,10.049288061336254,10.323110624315444,10.046537092800438
5119,10.10989010989011,10.480109739368999,10.2014652014652,10.21790880791064,10.47427211133492,10.0960219478738,10.397805212620028,10.300192784356927,10.300192784356927,10.178326474622772
5124,10.147837196568718,10.34672537149147,10.275597736813287,10.131916452913154,10.168559912055699,10.29290993703805,10.511908020804817,10.054794520547945,10.438356164383562,10.236653824986242
5158,10.312100748311735,10.702433628318584,10.49461580580398,10.404411764705882,10.330882352941176,10.29290993703805,10.511908020804817,10.164383561643836,10.684931506849315,10.232300884955752
5162,10.166088702317941,10.435497124075596,10.403358277057857,10.31586635019171,10.334124520723023,10.156036134683822,10.347659457979743,10.15881708652793,10.514786418400876,10.1615995617639
5170,10.265388868411353,10.510344827586207,10.394397346111315,10.196634907764038,10.399351307520778,10.23816041609636,10.648781823159048,10.256410256410257,10.288867250892567,10.289655172413793
5366,10.27850130234422,10.584041678091582,10.33860949709477,10.160818713450292,10.398391812865498,10.073911853271284,10.402408978921434,10.46474865633892,10.369901991779956,10.227584315876063
5378,10.129585690819493,10.529202083904579,10.312100748311735,10.359948839758816,10.359948839758816,10.101286613742129,10.320284697508896,10.131434830230011,10.569550930996714,10.419522895530573
5513,10.093082679321045,10.359002466429159,10.202591713816389,10.118721461187215,10.228310502283104,10.128661374212976,10.320284697508896,10.131434830230011,10.350492880613363,10.08495478213209
5554,10.248390064397425,10.510428100987925,10.193192272309108,10.438756855575868,10.36563071297989,10.183410895154667,10.56665754174651,10.144124168514413,10.282705099778271,10.345773874862788
5562,10.220843219565614,10.429783739392281,10.257346231064062,10.166088702317941,10.202591713816389,10.156036134683822,10.402408978921434,10.15881708652793,10.542168674698795,10.156036134683822
5566,10.293849242562512,10.377875136911282,10.257346231064062,10.222709017889741,10.167944505293903,10.156036134683822,10.484533260333972,10.268346111719605,10.815991237677984,10.268346111719605
5711,,10.472787245739417,,10.492253383016278,10.413806628750736,,,10.677618069815194,10.8145106091718,10.307861462341947
5754,10.278745644599303,10.472787245739417,10.627177700348431,10.492253383016278,10.413806628750736,10.265535176567205,10.457158499863127,10.67907995618839,10.569550930996714,10.307861462341947
5758,10.166088702317941,10.595662915179798,10.275597736813287,10.148107515085025,10.367526055951728,10.046537092800438,10.429783739392281,10.049288061336254,10.46002190580504,10.21136426022509
5762,10.265970668655232,10.484533260333972,10.39025602783992,10.133284644878584,10.24283366806646,10.48421052631579,10.652631578947368,10.16705069124424,10.16705069124424,10.128661374212976
5766,10.147837196568718,10.595662915179798,10.275597736813287,10.129822636679465,10.312671420735052,10.073911853271284,10.429783739392281,10.076670317634173,10.377875136911282,10.21136426022509
5911,10.94890510948905,10.408525754884547,11.313868613138686,10.255754475703325,10.358056265984654,10.94890510948905,11.313868613138686,11.050228310502282,11.050228310502282,10.19538188277087
5913,10.219213410702773,10.665200659703133,10.606060606060606,10.28728348119983,10.371778622729193,10.219213410702773,10.606060606060606,10.675182481751825,11.040145985401459,10.197910940076966
5914,10.293849242562512,10.833104206763815,10.476364300054755,10.25689105569098,10.406900431276954,10.23816041609636,10.484533260333972,10.30664395229983,10.420215786484953,10.283200439923014
5916,10.220843219565614,10.429783739392281,10.257346231064062,10.166088702317941,10.202591713816389,10.183410895154667,10.402408978921434,10.15881708652793,10.542168674698795,10.156036134683822
5962,10.111334185070268,10.511908020804817,10.312100748311735,10.131434830230011,10.204454180357795,10.046537092800438,10.429783739392281,10.13420980553273,10.627225417693783,10.073911853271284
5966,10.338517840805123,10.569550930996714,10.567246111619395,10.30058651026393,10.245601173020528,10.240963855421686,11.007667031763416,10.397412199630315,10.674676524953789,10.131434830230011
5974,10.293849242562512,10.347659457979743,10.476364300054755,10.166088702317941,10.184340208067166,10.156036134683822,10.703531344100739,10.076670317634173,10.350492880613363,10.073911853271284
5978,10.318504869702553,10.552486187845304,10.37115030271124,10.391760161853963,10.336582674268898,10.219213410702773,10.606060606060606,10.461416070007955,10.501193317422434,10.58011049723757
6411,10.140845070422536,10.575858250276855,10.347417840375586,10.27951452739978,10.261125413755057,10.2,10.342857142857143,10.298548342919748,10.599835661462613,10.326688815060908
6412,10.114433370247324,10.375034218450589,10.151347360649686,10.129585690819493,10.257346231064062,10.050111358574611,10.412026726057906,10.213581599123767,10.46002190580504,10.128661374212976
6413,10.114433370247324,10.375034218450589,10.151347360649686,10.129585690819493,10.312100748311735,10.050111358574611,10.384187082405345,10.213581599123767,10.46002190580504,10.156036134683822
6414,10.220843219565614,10.501653803748622,10.293849242562512,10.157682434910157,10.231023102310232,10.265535176567205,10.429783739392281,10.021905805038335,10.405257393209201,10.226019845644984
6432,10.202591713816389,10.429783739392281,10.239094725314839,10.147837196568718,10.366855265559408,10.128661374212976,10.320284697508896,10.131434830230011,10.43263964950712,10.183410895154667
6433,10.184340208067166,10.484533260333972,10.202591713816389,10.202591713816389,10.275597736813287,10.046537092800438,10.375034218450589,10.240963855421686,10.651697699890471,10.101286613742129
